,No answer,a few days or more,within a day,within a few hours,within an hour
299,0,0,0,0,1
300,1,0,0,0,0
301,0,0,0,0,1
302,0,0,0,0,1
303,0,0,0,0,1
304,1,0,0,0,0
305,0,0,0,0,1
306,0,0,0,0,1
307,0,0,0,0,1
308,1,0,0,0,0
309,1,0,0,0,0
310,0,0,0,0,1
311,1,0,0,0,0
312,1,0,0,0,0
313,0,0,0,0,1
314,0,0,0,1,0
315,0,0,0,0,1
316,0,0,0,0,1
317,1,0,0,0,0
318,0,0,0,0,1
319,1,0,0,0,0
320,0,0,0,0,1
321,0,0,0,1,0
322,0,0,0,1,0
323,0,0,0,1,0
324,0,0,0,0,1
325,0,0,0,1,0
326,0,0,0,1,0
327,1,0,0,0,0
328,1,0,0,0,0
329,0,0,0,0,1
330,0,0,0,1,0
331,0,0,0,0,1
332,1,0,0,0,0
333,0,0,0,1,0
334,0,1,0,0,0
335,0,0,0,0,1
336,0,0,0,0,1
337,0,0,0,1,0
338,0,1,0,0,0
339,1,0,0,0,0
340,0,0,0,0,1
341,0,0,0,0,1
342,1,0,0,0,0
343,0,0,1,0,0
344,1,0,0,0,0
345,1,0,0,0,0
346,0,0,0,0,1
347,0,0,0,0,1
348,0,0,0,0,1
349,1,0,0,0,0
350,0,0,0,0,1
351,1,0,0,0,0
352,0,0,0,0,1
353,0,0,0,0,1
354,0,0,0,0,1
355,0,1,0,0,0
356,0,0,0,0,1
357,0,0,0,0,1
358,0,0,0,1,0
359,0,0,0,1,0
360,0,0,1,0,0
361,0,0,0,0,1
362,1,0,0,0,0
363,0,0,0,0,1
364,0,0,0,0,1
365,0,0,0,0,1
366,0,0,0,0,1
367,0,0,0,0,1
368,0,0,0,1,0
369,0,0,0,0,1
370,1,0,0,0,0
371,0,0,0,1,0
372,0,0,0,0,1
373,0,0,0,0,1
374,0,0,0,1,0
375,0,0,0,0,1
376,0,0,0,0,1
377,0,0,0,0,1
378,0,0,0,0,1
379,0,0,0,0,1
380,1,0,0,0,0
381,1,0,0,0,0
382,0,0,0,0,1
383,0,1,0,0,0
384,1,0,0,0,0
385,0,0,0,0,1
386,0,0,0,0,1
387,0,0,0,1,0
388,0,0,0,1,0
389,0,0,0,0,1
390,0,0,1,0,0
391,0,0,0,0,1
392,0,0,0,0,1
393,0,0,0,1,0
394,0,0,0,0,1
395,0,0,0,0,1
396,0,0,0,0,1
397,0,0,0,0,1
398,0,0,0,0,1
399,0,0,0,0,1
400,1,0,0,0,0
401,0,0,0,0,1
402,0,1,0,0,0
403,0,0,0,1,0
404,0,0,0,0,1
405,0,0,0,1,0
406,0,0,1,0,0
407,0,0,0,1,0
408,0,0,0,1,0
409,1,0,0,0,0
410,0,1,0,0,0
411,0,0,0,0,1
412,0,0,0,0,1
413,0,0,0,0,1
414,0,0,0,0,1
415,0,0,0,0,1
416,0,0,0,0,1
417,0,0,0,0,1
418,0,0,0,0,1
419,0,0,0,0,1
420,0,0,0,0,1
421,0,0,0,0,1
422,1,0,0,0,0
423,0,0,0,0,1
424,0,0,0,0,1
425,0,0,0,0,1
426,0,0,0,0,1
427,0,0,1,0,0
428,0,0,0,0,1
429,0,0,1,0,0
430,0,0,0,1,0
431,0,0,0,1,0
432,0,0,0,0,1
433,0,0,0,0,1
434,0,0,0,0,1
435,0,0,0,0,1
436,0,0,0,0,1
437,0,0,0,1,0
438,0,0,0,1,0
439,0,0,0,0,1
440,0,0,1,0,0
441,0,0,0,1,0
442,0,0,0,1,0
443,0,0,1,0,0
444,0,0,0,0,1
445,0,0,0,0,1
446,0,0,1,0,0
447,0,0,0,0,1
448,0,0,0,0,1
449,1,0,0,0,0
450,0,0,0,0,1
451,1,0,0,0,0
452,0,0,0,1,0
453,0,0,0,0,1
454,0,0,1,0,0
455,0,0,0,0,1
456,0,0,0,0,1
457,0,0,0,0,1
458,0,0,0,0,1
459,0,0,0,0,1
460,0,0,0,0,1
461,0,0,0,0,1
462,0,0,0,0,1
463,0,0,0,0,1
464,0,0,0,0,1
465,0,0,0,0,1
466,0,0,0,0,1
467,0,0,0,0,1
468,0,0,0,0,1
469,1,0,0,0,0
470,0,0,0,0,1
471,0,0,1,0,0
472,0,0,0,0,1
473,0,0,0,0,1
474,0,0,0,0,1
475,0,0,0,0,1
476,0,0,0,0,1
477,0,0,0,0,1
478,0,0,0,0,1
479,1,0,0,0,0
480,0,0,0,0,1
481,0,0,0,0,1
482,0,0,0,0,1
483,0,0,0,0,1
484,0,0,0,1,0
485,0,0,0,1,0
486,0,1,0,0,0
487,0,0,0,0,1
488,0,0,0,0,1
489,0,0,0,0,1
490,1,0,0,0,0
491,0,0,0,0,1
492,0,0,1,0,0
493,0,0,0,0,1
494,0,0,0,0,1
495,0,0,0,0,1
496,0,0,0,1,0
497,0,0,0,0,1
498,0,0,0,0,1
499,0,0,0,0,1
500,0,0,0,0,1
501,0,0,0,0,1
502,0,1,0,0,0
503,0,0,0,1,0
504,0,0,0,1,0
505,0,0,0,1,0
506,0,0,0,0,1
507,0,0,1,0,0
508,0,0,0,0,1
509,0,0,0,1,0
510,0,0,0,1,0
511,0,0,0,0,1
512,0,0,1,0,0
513,1,0,0,0,0
514,0,0,0,0,1
515,1,0,0,0,0
516,1,0,0,0,0
517,0,0,0,1,0
518,0,0,0,0,1
519,1,0,0,0,0
520,0,0,1,0,0
521,1,0,0,0,0
522,0,0,1,0,0
523,0,0,0,1,0
524,0,0,0,0,1
525,0,0,0,0,1
526,0,0,0,0,1
527,0,0,0,0,1
528,0,0,0,1,0
529,0,0,0,1,0
530,0,0,0,0,1
531,1,0,0,0,0
532,1,0,0,0,0
533,0,0,0,0,1
534,0,0,0,1,0
535,1,0,0,0,0
536,0,0,0,0,1
537,0,0,1,0,0
538,0,0,0,1,0
539,0,0,0,0,1
540,0,0,0,0,1
541,1,0,0,0,0
542,0,0,0,0,1
543,0,0,0,0,1
544,0,0,0,0,1
545,0,0,0,0,1
546,0,0,0,0,1
547,1,0,0,0,0
548,1,0,0,0,0
549,1,0,0,0,0
550,1,0,0,0,0
551,1,0,0,0,0
552,0,0,0,0,1
553,0,0,1,0,0
554,0,0,1,0,0
555,0,0,1,0,0
556,1,0,0,0,0
557,1,0,0,0,0
558,1,0,0,0,0
559,1,0,0,0,0
560,1,0,0,0,0
561,1,0,0,0,0
562,0,0,1,0,0
563,0,0,0,1,0
564,0,0,0,0,1
565,0,0,0,0,1
566,0,0,0,0,1
567,0,0,0,0,1
568,0,0,0,0,1
569,0,0,1,0,0
570,0,0,0,0,1
571,0,0,0,0,1
572,0,0,0,0,1
573,1,0,0,0,0
574,0,0,0,1,0
575,1,0,0,0,0
576,0,0,0,1,0
577,0,0,0,0,1
578,0,0,0,0,1
579,1,0,0,0,0
580,1,0,0,0,0
581,1,0,0,0,0
582,1,0,0,0,0
583,1,0,0,0,0
584,0,0,0,0,1
585,1,0,0,0,0
586,1,0,0,0,0
587,1,0,0,0,0
588,1,0,0,0,0
589,0,0,0,0,1
590,0,0,1,0,0
591,0,0,0,0,1
592,0,0,0,0,1
593,0,0,1,0,0
594,0,0,1,0,0
595,0,0,0,1,0
596,0,0,0,0,1
597,0,0,0,0,1
598,0,0,0,0,1
599,0,0,0,0,1
600,0,0,0,0,1
601,0,0,1,0,0
602,0,0,0,0,1
603,0,0,0,0,1
604,0,0,0,1,0
605,1,0,0,0,0
606,0,0,0,0,1
607,0,0,0,0,1
608,0,0,0,0,1
609,0,0,1,0,0
610,1,0,0,0,0
611,0,0,0,1,0
612,1,0,0,0,0
613,0,0,0,0,1
614,1,0,0,0,0
615,0,0,0,0,1
616,0,0,0,0,1
617,0,0,0,0,1
618,0,0,1,0,0
619,0,0,0,1,0
620,0,0,0,1,0
621,0,0,0,1,0
622,0,0,0,0,1
623,0,0,0,0,1
624,1,0,0,0,0
625,1,0,0,0,0
626,0,0,0,0,1
627,0,0,0,0,1
628,1,0,0,0,0
629,1,0,0,0,0
630,0,0,1,0,0
631,0,0,0,0,1
632,0,0,0,0,1
633,0,0,0,0,1
634,0,0,0,0,1
635,0,0,0,0,1
636,0,0,0,0,1
637,0,0,0,0,1
638,0,0,0,0,1
639,0,0,0,1,0
640,0,0,0,1,0
641,1,0,0,0,0
642,1,0,0,0,0
643,1,0,0,0,0
644,0,1,0,0,0
645,0,0,0,0,1
646,0,0,0,1,0
647,0,0,0,0,1
648,0,0,0,0,1
649,0,0,0,0,1
650,1,0,0,0,0
651,1,0,0,0,0
652,1,0,0,0,0
653,0,0,0,0,1
654,0,0,0,0,1
655,0,0,0,0,1
656,0,0,0,0,1
657,0,0,0,0,1
658,0,0,0,0,1
659,0,0,0,0,1
660,0,0,0,0,1
661,1,0,0,0,0
662,0,0,0,1,0
663,1,0,0,0,0
664,0,0,0,0,1
665,0,0,0,1,0
666,0,0,0,1,0
667,0,0,0,0,1
668,0,0,0,1,0
669,0,0,0,0,1
670,0,0,0,0,1
671,0,0,0,0,1
672,0,0,0,1,0
673,1,0,0,0,0
674,0,1,0,0,0
675,0,0,0,0,1
676,0,0,0,0,1
677,1,0,0,0,0
678,1,0,0,0,0
679,0,0,1,0,0
680,0,0,0,0,1
681,0,1,0,0,0
682,1,0,0,0,0
683,1,0,0,0,0
684,1,0,0,0,0
685,1,0,0,0,0
686,1,0,0,0,0
687,0,0,0,0,1
688,0,0,1,0,0
689,0,0,0,0,1
690,0,0,0,1,0
691,0,1,0,0,0
692,0,0,1,0,0
693,1,0,0,0,0
694,1,0,0,0,0
695,0,0,0,0,1
696,0,0,0,0,1
697,1,0,0,0,0
698,0,0,0,0,1
699,0,0,0,0,1
700,1,0,0,0,0
701,1,0,0,0,0
702,1,0,0,0,0
703,0,0,0,1,0
704,0,0,0,1,0
705,1,0,0,0,0
706,0,0,1,0,0
707,0,0,0,1,0
708,1,0,0,0,0
709,0,0,0,0,1
710,1,0,0,0,0
711,1,0,0,0,0
712,1,0,0,0,0
713,1,0,0,0,0
714,1,0,0,0,0
715,0,0,0,1,0
716,1,0,0,0,0
717,1,0,0,0,0
718,0,0,0,0,1
719,0,0,1,0,0
720,0,0,0,0,1
721,1,0,0,0,0
722,0,0,1,0,0
723,1,0,0,0,0
724,0,0,0,1,0
725,1,0,0,0,0
726,0,0,0,0,1
727,0,0,0,0,1
728,1,0,0,0,0
729,1,0,0,0,0
730,1,0,0,0,0
731,0,0,0,1,0
732,1,0,0,0,0
733,0,0,1,0,0
734,0,0,0,0,1
735,0,0,0,1,0
736,1,0,0,0,0
737,0,0,0,0,1
738,0,0,0,1,0
739,1,0,0,0,0
740,0,0,0,0,1
741,0,0,1,0,0
742,0,0,0,0,1
743,0,0,1,0,0
744,1,0,0,0,0
745,0,0,0,0,1
746,0,0,0,0,1
747,1,0,0,0,0
748,0,0,0,0,1
749,0,0,0,0,1
750,1,0,0,0,0
751,0,0,0,0,1
752,0,0,1,0,0
753,1,0,0,0,0
754,0,0,0,1,0
755,0,1,0,0,0
756,1,0,0,0,0
757,1,0,0,0,0
758,0,0,0,0,1
759,0,0,0,0,1
760,0,0,0,0,1
761,1,0,0,0,0
762,0,0,1,0,0
763,0,0,0,0,1
764,0,0,0,1,0
765,0,0,0,0,1
766,1,0,0,0,0
767,0,0,0,0,1
768,0,0,0,1,0
769,0,0,1,0,0
770,0,0,0,1,0
771,0,0,0,0,1
772,0,0,1,0,0
773,0,0,0,0,1
774,0,0,0,0,1
775,1,0,0,0,0
776,1,0,0,0,0
777,0,0,0,0,1
778,0,0,0,1,0
779,1,0,0,0,0
780,0,0,0,0,1
781,0,0,0,1,0
782,0,0,0,1,0
783,0,1,0,0,0
784,1,0,0,0,0
785,1,0,0,0,0
786,0,0,0,0,1
787,0,0,0,0,1
788,0,0,0,1,0
789,0,0,0,1,0
790,0,0,0,0,1
791,0,0,0,1,0
792,0,0,0,0,1
793,0,0,0,1,0
794,0,0,1,0,0
795,0,0,0,1,0
796,1,0,0,0,0
797,0,0,0,0,1
798,0,0,0,0,1
799,0,0,1,0,0
800,0,0,0,0,1
801,0,0,1,0,0
802,0,0,0,1,0
803,0,0,0,0,1
804,0,0,0,1,0
805,1,0,0,0,0
806,0,0,1,0,0
807,1,0,0,0,0
808,0,0,0,0,1
809,0,0,0,0,1
810,0,0,0,0,1
811,1,0,0,0,0
812,1,0,0,0,0
813,1,0,0,0,0
814,0,0,0,1,0
815,0,0,1,0,0
816,0,0,0,0,1
817,0,0,0,1,0
818,0,0,0,1,0
819,1,0,0,0,0
820,0,0,0,0,1
821,0,0,0,0,1
822,0,0,0,0,1
823,0,0,0,0,1
824,0,0,0,1,0
825,1,0,0,0,0
826,0,0,0,0,1
827,0,0,1,0,0
828,1,0,0,0,0
829,1,0,0,0,0
830,1,0,0,0,0
831,1,0,0,0,0
832,0,0,0,0,1
833,0,0,0,1,0
834,0,0,0,1,0
835,0,0,0,0,1
836,1,0,0,0,0
837,0,0,0,1,0
838,1,0,0,0,0
839,0,0,0,0,1
840,1,0,0,0,0
841,0,0,0,1,0
842,1,0,0,0,0
843,0,0,0,1,0
844,0,0,0,0,1
845,0,0,0,0,1
846,0,0,0,0,1
847,0,0,0,0,1
848,0,0,0,0,1
849,0,0,0,0,1
850,1,0,0,0,0
851,0,0,0,0,1
852,0,0,0,1,0
853,0,0,0,0,1
854,0,0,1,0,0
855,0,1,0,0,0
856,0,0,0,0,1
857,0,1,0,0,0
858,0,0,0,0,1
859,1,0,0,0,0
860,0,0,0,1,0
861,0,0,1,0,0
862,0,0,0,0,1
863,0,0,0,0,1
864,0,0,0,0,1
865,0,0,0,0,1
866,0,0,0,0,1
867,0,0,0,1,0
868,0,0,1,0,0
869,0,0,1,0,0
870,0,0,0,0,1
871,0,0,0,0,1
872,0,0,1,0,0
873,0,0,0,0,1
874,0,0,0,0,1
875,0,0,1,0,0
876,0,0,0,1,0
877,0,0,0,0,1
878,1,0,0,0,0
879,1,0,0,0,0
880,0,0,1,0,0
881,1,0,0,0,0
882,1,0,0,0,0
883,1,0,0,0,0
884,1,0,0,0,0
885,0,0,0,0,1
886,0,0,1,0,0
887,0,0,0,0,1
888,0,0,0,0,1
889,0,0,0,1,0
890,1,0,0,0,0
891,0,0,0,0,1
892,0,0,1,0,0
893,0,0,0,1,0
894,1,0,0,0,0
895,0,0,1,0,0
896,0,0,0,0,1
897,0,0,0,0,1
898,1,0,0,0,0
899,0,0,0,1,0
900,1,0,0,0,0
901,0,0,0,0,1
902,1,0,0,0,0
903,0,0,0,0,1
904,1,0,0,0,0
905,0,0,1,0,0
906,0,0,0,0,1
907,1,0,0,0,0
908,1,0,0,0,0
909,1,0,0,0,0
910,0,0,0,0,1
911,0,0,0,1,0
912,0,0,0,1,0
913,0,0,0,0,1
914,1,0,0,0,0
915,0,0,0,0,1
916,0,0,0,0,1
917,1,0,0,0,0
918,0,0,0,0,1
919,1,0,0,0,0
920,0,0,0,0,1
921,1,0,0,0,0
922,0,0,0,0,1
923,1,0,0,0,0
924,0,0,0,1,0
925,0,0,1,0,0
926,0,0,0,1,0
927,0,0,1,0,0
928,0,0,0,0,1
929,0,0,0,0,1
930,1,0,0,0,0
931,0,0,0,0,1
932,0,0,0,0,1
933,0,0,0,0,1
934,1,0,0,0,0
935,1,0,0,0,0
936,0,0,0,1,0
937,0,0,0,0,1
938,0,0,0,0,1
939,0,0,0,1,0
940,0,0,0,0,1
941,0,0,0,0,1
942,0,0,1,0,0
943,0,0,0,0,1
944,1,0,0,0,0
945,0,0,0,0,1
946,1,0,0,0,0
947,0,0,0,0,1
948,0,0,1,0,0
949,1,0,0,0,0
950,1,0,0,0,0
951,0,0,0,0,1
952,0,0,0,0,1
953,1,0,0,0,0
954,0,0,0,0,1
955,1,0,0,0,0
956,1,0,0,0,0
957,1,0,0,0,0
958,0,0,0,0,1
959,0,0,0,0,1
960,0,0,0,0,1
961,1,0,0,0,0
962,0,0,0,0,1
963,0,0,0,1,0
964,0,0,0,1,0
965,0,0,0,1,0
966,0,0,0,0,1
967,0,0,0,0,1
968,0,0,0,1,0
969,0,0,0,0,1
970,0,0,0,1,0
971,1,0,0,0,0
972,0,0,1,0,0
973,0,0,0,1,0
974,1,0,0,0,0
975,0,0,0,1,0
976,0,0,0,1,0
977,1,0,0,0,0
978,1,0,0,0,0
979,0,0,0,1,0
980,0,0,0,1,0
981,0,0,0,0,1
982,1,0,0,0,0
983,0,0,1,0,0
984,0,0,0,0,1
985,0,0,0,0,1
986,0,0,0,0,1
987,1,0,0,0,0
988,1,0,0,0,0
989,1,0,0,0,0
990,1,0,0,0,0
991,0,0,0,0,1
992,1,0,0,0,0
993,0,0,0,0,1
994,0,0,0,0,1
995,0,1,0,0,0
996,0,0,0,0,1
997,1,0,0,0,0
998,1,0,0,0,0
999,1,0,0,0,0
1000,0,0,0,1,0
1001,0,0,0,0,1
1002,0,0,0,0,1
1003,0,0,0,1,0
1004,0,0,0,1,0
1005,1,0,0,0,0
1006,0,0,0,0,1
1007,0,0,1,0,0
1008,0,0,0,0,1
1009,0,0,0,1,0
1010,0,0,1,0,0
1011,0,0,0,1,0
1012,1,0,0,0,0
1013,0,0,0,1,0
1014,0,0,0,0,1
1015,1,0,0,0,0
1016,0,1,0,0,0
1017,0,0,0,0,1
1018,1,0,0,0,0
1019,0,0,0,0,1
1020,0,0,0,1,0
1021,0,1,0,0,0
1022,1,0,0,0,0
1023,0,0,0,1,0
1024,0,0,0,0,1
1025,0,0,0,1,0
1026,0,0,0,1,0
1027,0,0,1,0,0
1028,0,0,1,0,0
1029,1,0,0,0,0
1030,1,0,0,0,0
1031,0,0,0,0,1
1032,1,0,0,0,0
1033,1,0,0,0,0
1034,1,0,0,0,0
1035,1,0,0,0,0
1036,1,0,0,0,0
1037,0,0,0,0,1
1038,0,0,0,1,0
1039,0,0,0,0,1
1040,0,0,0,0,1
1041,1,0,0,0,0
1042,0,0,0,0,1
1043,0,0,0,1,0
1044,1,0,0,0,0
1045,0,0,1,0,0
1046,0,0,1,0,0
1047,0,0,0,1,0
1048,0,0,1,0,0
1049,0,0,0,0,1
1050,0,0,0,0,1
1051,1,0,0,0,0
1052,0,0,0,0,1
1053,0,0,0,0,1
1054,0,0,0,0,1
1055,0,0,0,0,1
1056,0,0,0,0,1
1057,0,0,1,0,0
1058,0,0,0,0,1
1059,0,0,0,1,0
1060,0,0,0,0,1
1061,0,0,0,1,0
1062,1,0,0,0,0
1063,0,0,1,0,0
1064,0,0,0,0,1
1065,1,0,0,0,0
1066,0,0,0,0,1
1067,1,0,0,0,0
1068,0,0,0,0,1
1069,0,0,1,0,0
1070,1,0,0,0,0
1071,0,0,0,0,1
1072,0,0,0,1,0
1073,1,0,0,0,0
1074,1,0,0,0,0
1075,0,0,0,0,1
1076,0,0,0,1,0
1077,0,0,0,0,1
1078,0,0,1,0,0
1079,0,0,0,1,0
1080,0,0,0,1,0
1081,0,0,1,0,0
1082,0,1,0,0,0
1083,0,0,1,0,0
1084,0,0,1,0,0
1085,1,0,0,0,0
1086,1,0,0,0,0
1087,1,0,0,0,0
1088,0,0,0,0,1
1089,1,0,0,0,0
1090,0,0,0,0,1
1091,0,0,0,1,0
1092,1,0,0,0,0
1093,0,0,0,0,1
1094,1,0,0,0,0
1095,0,0,0,1,0
1096,0,0,1,0,0
1097,1,0,0,0,0
1098,0,0,1,0,0
1099,0,0,0,0,1
1100,1,0,0,0,0
1101,0,0,0,0,1
1102,0,0,0,0,1
1103,0,0,0,0,1
1104,0,0,0,1,0
1105,0,0,0,0,1
1106,1,0,0,0,0
1107,0,0,0,1,0
1108,1,0,0,0,0
1109,0,0,0,0,1
1110,1,0,0,0,0
1111,1,0,0,0,0
1112,0,0,0,0,1
1113,0,0,0,1,0
1114,0,0,0,0,1
1115,1,0,0,0,0
1116,0,0,0,0,1
1117,0,0,0,0,1
1118,0,0,0,1,0
1119,0,0,0,1,0
1120,0,0,0,1,0
1121,0,0,0,0,1
1122,1,0,0,0,0
1123,0,0,0,0,1
1124,0,0,1,0,0
1125,0,0,0,1,0
1126,1,0,0,0,0
1127,0,0,0,1,0
1128,1,0,0,0,0
1129,1,0,0,0,0
1130,0,0,0,0,1
1131,0,0,0,0,1
1132,1,0,0,0,0
1133,1,0,0,0,0
1134,0,0,0,0,1
1135,0,0,0,1,0
1136,0,0,0,0,1
1137,0,0,0,0,1
1138,0,0,0,0,1
1139,0,0,1,0,0
1140,0,0,0,1,0
1141,1,0,0,0,0
1142,0,0,0,0,1
1143,0,0,0,0,1
1144,0,0,0,1,0
1145,0,0,0,1,0
1146,0,0,0,0,1
1147,0,0,1,0,0
1148,0,0,0,1,0
